cycle,use_jester,stability,adaptive_score,rigidity,dissent,queen_pressure,jester_active,jester_pressure,jester_fatigue,jester_cooldown
129,True,0.920485,0.837195,0.432046,0.177513,0.089671,False,0.0,0,0
130,True,0.925111,0.837123,0.433084,0.176613,0.089771,False,0.0,0,0
131,True,0.929988,0.837,0.43408,0.175748,0.089871,False,0.0,0,0
132,True,0.932039,0.836935,0.435037,0.174918,0.089971,False,0.0,0,0
133,True,0.920131,0.837199,0.426759,0.181364,0.090071,True,0.322289,0.075,0
134,True,0.917291,0.83722,0.428009,0.180309,0.090171,False,0.0,0.05,0
135,True,0.924477,0.837135,0.429209,0.179297,0.09027,False,0.0,0.025,0
136,True,0.918705,0.837211,0.43036,0.178325,0.09037,False,0.0,0,0
137,True,0.914142,0.837224,0.431466,0.177392,0.09047,False,0.0,0,0
138,True,0.913358,0.837222,0.432527,0.176497,0.09057,False,0.0,0,0
139,True,0.914475,0.837225,0.433546,0.175637,0.09067,False,0.0,0,0
140,True,0.920189,0.837198,0.434524,0.174811,0.09077,False,0.0,0,0
141,True,0.912917,0.837221,0.435463,0.174019,0.09087,False,0.0,0,0
142,True,0.923029,0.837161,0.436365,0.173258,0.09097,False,0.0,0,0
143,True,0.91719,0.83722,0.43723,0.172528,0.09107,False,0.0,0,0
144,True,0.919118,0.837208,0.438061,0.171827,0.09117,False,0.0,0,0
145,True,0.928722,0.837037,0.438859,0.171153,0.091269,False,0.0,0,0
146,True,0.919338,0.837206,0.431246,0.177725,0.091369,True,0.328565,0.075,0
147,True,0.920762,0.837192,0.432316,0.176816,0.091469,False,0.0,0.05,0
148,True,0.916905,0.837221,0.433344,0.175943,0.091569,False,0.0,0.025,0
149,True,0.916165,0.837224,0.43433,0.175105,0.091669,False,0.0,0,0
150,True,0.918892,0.83721,0.435277,0.174301,0.091769,False,0.0,0,0
151,True,0.922549,0.837168,0.436186,0.173529,0.091869,False,0.0,0,0
152,True,0.918768,0.837211,0.437058,0.172788,0.091969,False,0.0,0,0
153,True,0.92316,0.837158,0.437896,0.172076,0.092069,False,0.0,0,0
154,True,0.917122,0.83722,0.4387,0.171393,0.092169,False,0.0,0,0
155,True,0.922075,0.837175,0.439472,0.170738,0.092269,False,0.0,0,0
156,True,0.920901,0.83719,0.440213,0.170108,0.092369,False,0.0,0,0
157,True,0.93439,0.836849,0.440925,0.169504,0.092469,False,0.0,0,0
158,True,0.932319,0.836925,0.43518,0.176522,0.092569,True,0.350928,0.075,0
159,True,0.926222,0.837099,0.42854,0.183113,0.092669,True,0.329511,0.15,0
