cycle,use_jester,stability,adaptive_score,rigidity,dissent,queen_pressure,jester_active,jester_pressure,jester_fatigue,jester_cooldown
174,False,0.984556,0.832387,0.457998,0.155003,0.099861,False,0.0,0,0
175,False,0.985737,0.832221,0.457998,0.155003,0.1,False,0.0,0,0
176,False,0.976387,0.833457,0.457998,0.155003,0.100139,False,0.0,0,0
177,False,0.981901,0.832749,0.457999,0.155003,0.100279,False,0.0,0,0
178,False,0.990018,0.831597,0.457999,0.155003,0.100418,False,0.0,0,0
179,False,0.995257,0.830784,0.457999,0.155003,0.100555,False,0.0,0,0
180,False,0.99604,0.830658,0.457999,0.155003,0.100689,False,0.0,0,0
181,False,0.991749,0.831335,0.457999,0.155002,0.100818,False,0.0,0,0
182,False,0.99802,0.830333,0.457999,0.155002,0.100943,False,0.0,0,0
183,False,0.991585,0.83136,0.457999,0.155002,0.101065,False,0.0,0,0
184,False,0.985777,0.832216,0.457999,0.155002,0.101183,False,0.0,0,0
185,False,0.981346,0.832823,0.457999,0.155002,0.101298,False,0.0,0,0
186,False,0.981716,0.832774,0.457999,0.155002,0.101409,False,0.0,0,0
187,False,0.981313,0.832828,0.457999,0.155002,0.101516,False,0.0,0,0
188,False,0.981018,0.832867,0.457999,0.155002,0.101621,False,0.0,0,0
189,False,0.983363,0.832552,0.457999,0.155002,0.101722,False,0.0,0,0
190,False,0.981345,0.832823,0.457999,0.155002,0.101821,False,0.0,0,0
191,False,0.980113,0.832985,0.457999,0.155002,0.101916,False,0.0,0,0
192,False,0.983629,0.832515,0.457999,0.155002,0.102009,False,0.0,0,0
193,False,0.984511,0.832393,0.457999,0.155002,0.102098,False,0.0,0,0
194,False,0.987018,0.832038,0.457999,0.155001,0.102185,False,0.0,0,0
195,False,0.972175,0.833956,0.457999,0.155001,0.10227,False,0.0,0,0
196,False,0.983507,0.832532,0.457999,0.155001,0.102352,False,0.0,0,0
197,False,0.982922,0.832612,0.457999,0.155001,0.102431,False,0.0,0,0
198,False,0.980611,0.83292,0.457999,0.155001,0.102508,False,0.0,0,0
199,False,0.978993,0.83313,0.457999,0.155001,0.102583,False,0.0,0,0
200,False,0.986789,0.832071,0.457999,0.155001,0.102655,False,0.0,0,0
201,False,0.988656,0.8318,0.457999,0.155001,0.102726,False,0.0,0,0
202,False,0.99151,0.831371,0.457999,0.155001,0.102794,False,0.0,0,0
203,False,0.987636,0.831949,0.457999,0.155001,0.10286,False,0.0,0,0
204,False,0.984178,0.832439,0.458,0.155001,0.102924,False,0.0,0,0
205,False,0.984987,0.832327,0.458,0.155001,0.102987,False,0.0,0,0
206,False,0.979251,0.833097,0.458,0.155001,0.103047,False,0.0,0,0
207,False,0.97372,0.833777,0.458,0.155001,0.103106,False,0.0,0,0
208,False,0.96702,0.834519,0.458,0.155001,0.103162,False,0.0,0,0
209,False,0.961204,0.83509,0.458,0.155001,0.103218,False,0.0,0,0
210,False,0.962828,0.834938,0.458,0.155001,0.103271,False,0.0,0,0
211,False,0.960646,0.835141,0.458,0.155001,0.103323,False,0.0,0,0
212,False,0.959419,0.835252,0.458,0.155001,0.103373,False,0.0,0,0
213,False,0.962384,0.83498,0.458,0.155001,0.103422,False,0.0,0,0
214,False,0.967577,0.834461,0.458,0.155001,0.103469,False,0.0,0,0
215,False,0.96401,0.834823,0.458,0.155001,0.103515,False,0.0,0,0
216,False,0.966926,0.834529,0.458,0.155001,0.10356,False,0.0,0,0
217,False,0.967712,0.834446,0.458,0.155001,0.103603,False,0.0,0,0
218,False,0.962658,0.834954,0.458,0.155001,0.103645,False,0.0,0,0
219,False,0.960818,0.835126,0.458,0.155001,0.103686,False,0.0,0,0
220,False,0.967552,0.834463,0.458,0.155001,0.103725,False,0.0,0,0
