cycle,use_jester,stability,adaptive_score,rigidity,dissent,queen_pressure,jester_active,jester_pressure,jester_fatigue,jester_cooldown
91,False,0.957375,0.835429,0.458024,0.154976,0.085881,False,0.0,0,0
92,False,0.958832,0.835304,0.458023,0.154977,0.085981,False,0.0,0,0
93,False,0.96048,0.835157,0.458022,0.154978,0.08608,False,0.0,0,0
94,False,0.949799,0.836014,0.458022,0.154978,0.08618,False,0.0,0,0
95,False,0.949303,0.836048,0.458021,0.154979,0.08628,False,0.0,0,0
96,False,0.94343,0.836417,0.45802,0.15498,0.086379,False,0.0,0,0
97,False,0.946424,0.836238,0.458019,0.154981,0.086479,False,0.0,0,0
98,False,0.94504,0.836323,0.458018,0.154982,0.086578,False,0.0,0,0
99,False,0.943483,0.836414,0.458018,0.154982,0.086678,False,0.0,0,0
100,False,0.937291,0.836728,0.458017,0.154983,0.086778,False,0.0,0,0
101,False,0.942601,0.836463,0.458016,0.154984,0.086877,False,0.0,0,0
102,False,0.941724,0.836511,0.458016,0.154984,0.086977,False,0.0,0,0
103,False,0.944722,0.836342,0.458015,0.154985,0.087077,False,0.0,0,0
104,False,0.945353,0.836304,0.458014,0.154986,0.087176,False,0.0,0,0
105,False,0.939846,0.836608,0.458014,0.154986,0.087276,False,0.0,0,0
106,False,0.931266,0.83696,0.458013,0.154987,0.087376,False,0.0,0,0
107,False,0.93526,0.836815,0.458013,0.154987,0.087476,False,0.0,0,0
108,False,0.945656,0.836285,0.458012,0.154988,0.087575,False,0.0,0,0
109,False,0.94229,0.83648,0.458012,0.154988,0.087675,False,0.0,0,0
110,False,0.951519,0.835891,0.458011,0.154989,0.087775,False,0.0,0,0
111,False,0.95949,0.835246,0.458011,0.154989,0.087875,False,0.0,0,0
112,False,0.960188,0.835183,0.45801,0.15499,0.087974,False,0.0,0,0
113,False,0.959156,0.835275,0.45801,0.15499,0.088074,False,0.0,0,0
114,False,0.965108,0.834714,0.45801,0.15499,0.088174,False,0.0,0,0
115,False,0.95407,0.835699,0.458009,0.154991,0.088274,False,0.0,0,0
116,False,0.947002,0.836201,0.458009,0.154991,0.088373,False,0.0,0,0
117,False,0.94845,0.836106,0.458008,0.154992,0.088473,False,0.0,0,0
118,False,0.952865,0.835791,0.458008,0.154992,0.088573,False,0.0,0,0
119,False,0.963019,0.834919,0.458008,0.154992,0.088673,False,0.0,0,0
120,False,0.961376,0.835074,0.458007,0.154993,0.088773,False,0.0,0,0
121,False,0.960816,0.835126,0.458007,0.154993,0.088873,False,0.0,0,0
122,False,0.951007,0.835928,0.458007,0.154993,0.088972,False,0.0,0,0
123,False,0.952394,0.835827,0.458007,0.154993,0.089072,False,0.0,0,0
124,False,0.944145,0.836376,0.458006,0.154994,0.089172,False,0.0,0,0
125,False,0.943887,0.836391,0.458006,0.154994,0.089272,False,0.0,0,0
126,False,0.933319,0.836889,0.458006,0.154994,0.089372,False,0.0,0,0
127,False,0.932537,0.836917,0.458006,0.154994,0.089472,False,0.0,0,0
128,False,0.935257,0.836815,0.458005,0.154995,0.089571,False,0.0,0,0
129,False,0.944176,0.836374,0.458005,0.154995,0.089671,False,0.0,0,0
130,False,0.947973,0.836138,0.458005,0.154995,0.089771,False,0.0,0,0
131,False,0.952049,0.835852,0.458005,0.154995,0.089871,False,0.0,0,0
132,False,0.953328,0.835756,0.458005,0.154995,0.089971,False,0.0,0,0
133,False,0.947456,0.836172,0.458004,0.154996,0.090071,False,0.0,0,0
134,False,0.943659,0.836404,0.458004,0.154996,0.090171,False,0.0,0,0
135,False,0.949922,0.836005,0.458004,0.154996,0.09027,False,0.0,0,0
136,False,0.943259,0.836426,0.458004,0.154996,0.09037,False,0.0,0,0
137,False,0.937837,0.836703,0.458004,0.154996,0.09047,False,0.0,0,0
138,False,0.936224,0.836775,0.458004,0.154996,0.09057,False,0.0,0,0
139,False,0.936541,0.836761,0.458003,0.154997,0.09067,False,0.0,0,0
140,False,0.941483,0.836524,0.458003,0.154997,0.09077,False,0.0,0,0
141,False,0.933465,0.836884,0.458003,0.154997,0.09087,False,0.0,0,0
142,False,0.942858,0.836449,0.458003,0.154997,0.09097,False,0.0,0,0
143,False,0.936325,0.83677,0.458003,0.154997,0.09107,False,0.0,0,0
144,False,0.937584,0.836715,0.458003,0.154997,0.09117,False,0.0,0,0
145,False,0.946541,0.83623,0.458003,0.154997,0.091269,False,0.0,0,0
146,False,0.943542,0.83641,0.458003,0.154997,0.091369,False,0.0,0,0
147,False,0.944119,0.836377,0.458002,0.154998,0.091469,False,0.0,0,0
148,False,0.939445,0.836627,0.458002,0.154998,0.091569,False,0.0,0,0
149,False,0.937916,0.8367,0.458002,0.154998,0.091669,False,0.0,0,0
150,False,0.939881,0.836606,0.458002,0.154998,0.091769,False,0.0,0,0
151,False,0.942804,0.836452,0.458002,0.154998,0.091869,False,0.0,0,0
152,False,0.938313,0.836681,0.458002,0.154998,0.091969,False,0.0,0,0
153,False,0.942021,0.836495,0.458002,0.154998,0.092069,False,0.0,0,0
154,False,0.935324,0.836812,0.458002,0.154998,0.092169,False,0.0,0,0
155,False,0.939639,0.836618,0.458002,0.154998,0.092269,False,0.0,0,0
156,False,0.93785,0.836703,0.458002,0.154998,0.092369,False,0.0,0,0
157,False,0.950747,0.835947,0.458002,0.154998,0.092469,False,0.0,0,0
158,False,0.955316,0.8356,0.458002,0.154998,0.092569,False,0.0,0,0
159,False,0.955315,0.8356,0.458002,0.154998,0.092669,False,0.0,0,0
160,False,0.962537,0.834965,0.458001,0.154999,0.092768,False,0.0,0,0
161,False,0.972819,0.833882,0.458001,0.154999,0.092868,False,0.0,0,0
162,False,0.967437,0.834475,0.458001,0.154999,0.092968,False,0.0,0,0
163,False,0.963686,0.834855,0.458001,0.154999,0.093068,False,0.0,0,0
164,False,0.968218,0.834393,0.458001,0.154999,0.093168,False,0.0,0,0
165,False,0.968746,0.834336,0.458001,0.154999,0.093268,False,0.0,0,0
166,False,0.97662,0.833428,0.458001,0.154999,0.093368,False,0.0,0,0
167,False,0.980309,0.83296,0.458001,0.154999,0.093468,False,0.0,0,0
168,False,0.98102,0.832866,0.458001,0.154999,0.093568,False,0.0,0,0
169,False,0.988048,0.831889,0.458001,0.154999,0.093668,False,0.0,0,0
170,False,0.992642,0.831197,0.458001,0.154999,0.093768,False,0.0,0,0
