cycle,use_jester,stability,adaptive_score,rigidity,dissent,queen_pressure,jester_active,jester_pressure,jester_fatigue,jester_cooldown
160,True,0.933396,0.836887,0.43025,0.183671,0.097916,True,0.354384,0.125,0
161,True,0.945889,0.836271,0.43136,0.182524,0.098054,False,0.0,0.1,0
162,True,0.933531,0.836882,0.422092,0.190141,0.098193,True,0.380853,0.175,0
163,True,0.930563,0.836983,0.423528,0.188736,0.098332,False,0.0,0.15,0
164,True,0.936796,0.83675,0.424907,0.187386,0.098471,False,0.0,0.125,0
165,True,0.931214,0.836962,0.417966,0.1946,0.09861,True,0.360711,0.2,0
166,True,0.941361,0.83653,0.419568,0.193016,0.098749,False,0.0,0.175,0
167,True,0.939425,0.836628,0.413544,0.200472,0.098887,True,0.372788,0.25,0
168,True,0.934379,0.836849,0.406647,0.207846,0.099026,True,0.3687,0.325,0
169,True,0.943961,0.836386,0.408701,0.205732,0.099165,False,0.0,0.3,0
170,True,0.94335,0.836421,0.402959,0.213346,0.099304,True,0.380706,0.375,0
171,True,0.924635,0.837132,0.3918,0.220942,0.099444,True,0.379799,0.45,0
172,True,0.93117,0.836964,0.394448,0.218305,0.099583,False,0.0,0.425,0
173,True,0.934977,0.836826,0.39699,0.215772,0.099722,False,0.0,0.4,0
174,True,0.931681,0.836947,0.399431,0.213342,0.099861,False,0.0,0.375,0
175,True,0.934713,0.836836,0.401773,0.211008,0.1,False,0.0,0.35,0
176,True,0.927148,0.837077,0.404022,0.208768,0.100139,False,0.0,0.325,0
177,True,0.934386,0.836849,0.406182,0.206617,0.100279,False,0.0,0.3,0
178,True,0.944165,0.836374,0.408254,0.204552,0.100418,False,0.0,0.275,0
179,True,0.943508,0.836412,0.402421,0.212272,0.100555,True,0.385997,0.35,0
180,True,0.938605,0.836668,0.395338,0.219961,0.100689,True,0.384419,0.425,0
181,True,0.928867,0.837033,0.386976,0.227414,0.100818,True,0.372651,0.5,0
182,True,0.937339,0.836726,0.389817,0.224517,0.100943,False,0.0,0.475,0
183,True,0.925582,0.837113,0.380894,0.231909,0.101065,True,0.369614,0.55,0
184,True,0.922084,0.837175,0.383978,0.228833,0.101183,False,0.0,0.525,0
185,True,0.919882,0.837201,0.386939,0.22588,0.101298,False,0.0,0.5,0
186,True,0.922404,0.83717,0.389781,0.223044,0.101409,False,0.0,0.475,0
187,True,0.924077,0.837143,0.39251,0.220323,0.101516,False,0.0,0.45,0
188,True,0.925785,0.837109,0.39513,0.21771,0.101621,False,0.0,0.425,0
189,True,0.930063,0.836998,0.397644,0.215201,0.101722,False,0.0,0.4,0
190,True,0.92991,0.837003,0.400059,0.212793,0.101821,False,0.0,0.375,0
191,True,0.930479,0.836985,0.402376,0.210482,0.101916,False,0.0,0.35,0
192,True,0.935732,0.836795,0.404601,0.208262,0.102009,False,0.0,0.325,0
193,True,0.930857,0.836974,0.397799,0.215577,0.102098,True,0.365756,0.4,0
194,True,0.935242,0.836815,0.400207,0.213154,0.102185,False,0.0,0.375,0
195,True,0.914782,0.837225,0.388746,0.220446,0.10227,True,0.364581,0.45,0
196,True,0.928123,0.837053,0.391516,0.217828,0.102352,False,0.0,0.425,0
197,True,0.929477,0.837015,0.394175,0.215315,0.102431,False,0.0,0.4,0
198,True,0.929036,0.837028,0.396728,0.212902,0.102508,False,0.0,0.375,0
199,True,0.929223,0.837023,0.399179,0.210586,0.102583,False,0.0,0.35,0
200,True,0.938761,0.83666,0.401532,0.208363,0.102655,False,0.0,0.325,0
201,True,0.934851,0.836831,0.394913,0.215823,0.102726,True,0.373027,0.4,0
202,True,0.939589,0.83662,0.397436,0.21339,0.102794,False,0.0,0.375,0
203,True,0.930067,0.836998,0.389105,0.220891,0.10286,True,0.375013,0.45,0
204,True,0.928624,0.837039,0.39186,0.218255,0.102924,False,0.0,0.425,0
205,True,0.931377,0.836957,0.394506,0.215725,0.102987,False,0.0,0.4,0
206,True,0.927517,0.837068,0.397046,0.213296,0.103047,False,0.0,0.375,0
207,True,0.923797,0.837148,0.399484,0.210964,0.103106,False,0.0,0.35,0
208,True,0.918845,0.83721,0.401825,0.208725,0.103162,False,0.0,0.325,0
209,True,0.914715,0.837225,0.404072,0.206576,0.103218,False,0.0,0.3,0
210,True,0.917965,0.837216,0.406229,0.204513,0.103271,False,0.0,0.275,0
211,True,0.917354,0.837219,0.4083,0.202533,0.103323,False,0.0,0.25,0
212,True,0.917642,0.837218,0.410288,0.200632,0.103373,False,0.0,0.225,0
213,True,0.92207,0.837175,0.412196,0.198806,0.103422,False,0.0,0.2,0
214,True,0.928673,0.837038,0.414028,0.197054,0.103469,False,0.0,0.175,0
215,True,0.926468,0.837093,0.415787,0.195372,0.103515,False,0.0,0.15,0
216,True,0.930698,0.836979,0.417476,0.193757,0.10356,False,0.0,0.125,0
217,True,0.932752,0.83691,0.419097,0.192207,0.103603,False,0.0,0.1,0
218,True,0.928922,0.837031,0.420653,0.190718,0.103645,False,0.0,0.075,0
219,True,0.928263,0.837049,0.422147,0.18929,0.103686,False,0.0,0.05,0
220,True,0.936136,0.836778,0.423581,0.187918,0.103725,False,0.0,0.025,0
