class,count,base_delta,expected,allow,track,quarantine_reflection,phase_lock,semantic_quarantine,memory_shadow_read,voltage_debt_governor,witness_257_recheck,missed,false_positive,pass
clean_clone,10000,0E-8,allow,10000,0,0,0,0,0,0,0,0,0,True
micro_clone,10000,1E-8,track,0,10000,0,0,0,0,0,0,0,0,True
shadow_clone,8000,-1E-8,quarantine_reflection,2666,0,5334,0,0,0,0,0,2666,0,False
phase_clone,8000,2E-8,phase_lock,0,0,0,8000,0,0,0,0,0,0,True
semantic_clone,6000,3E-8,semantic_quarantine,0,0,0,0,6000,0,0,0,0,0,True
memory_clone,6000,4E-8,memory_shadow_read,0,0,0,0,0,6000,0,0,0,0,True
privilege_clone,5000,5E-8,voltage_debt_governor,0,0,0,0,0,0,5000,0,0,0,True
witness_clone,5000,6E-8,witness_257_recheck,0,0,0,0,0,0,0,5000,0,0,True
