cycle,self_state,stability,adaptive_score,rigidity,truth_load,bridge_load,shadow_load,noise,contradiction,pressure,drift
58,0.0116,0.936458,0.836765,0.809769,0.010424,0.013121,0.010426,0.1194,0.0,1.0,0.0
59,-0.004723,0.92235,0.837171,0.718337,0.010105,0.112115,0.011207,0.1212,0.0,1.0,0.0
60,0.000206,0.938061,0.836693,0.779239,0.009599,0.035432,0.011529,0.123,0.0,1.0,0.0
61,-0.00407,0.934838,0.836831,0.794446,0.009305,0.019761,0.01135,0.1248,0.0,1.0,0.0
62,-0.002484,0.940496,0.836575,0.813923,0.008971,0.001249,0.010743,0.1266,0.0,1.0,0.0
63,-0.002575,0.94261,0.836463,0.789519,0.0088,0.03485,0.010337,0.1284,0.0,1.0,0.0
64,0.005157,0.929891,0.837003,0.767827,0.008526,0.068333,0.009382,0.1302,0.0,1.0,0.0
65,-0.000409,0.92014,0.837199,0.777738,0.008557,0.197698,0.006457,0.132,0.0,1.0,0.0
66,-0.00836,0.924816,0.837129,0.770103,0.008811,0.179505,0.002437,0.1338,0.0,1.0,0.0
67,-0.01361,0.918417,0.837213,0.763908,0.009186,0.220096,0.00299,0.1356,0.0,1.0,0.0
68,-0.011367,0.93658,0.836759,0.790946,0.009443,0.049534,0.007565,0.1374,0.0,1.0,0.0
69,0.016374,0.903747,0.837098,0.75658,0.009536,0.15267,0.008006,0.1392,0.0,1.0,0.0
70,0.007168,0.932888,0.836905,0.767106,0.009444,0.038168,0.00836,0.141,0.0,1.0,0.0
71,0.022847,0.914031,0.837224,0.707945,0.00973,0.134241,0.009035,0.1428,0.0,1.0,0.0
72,0.017723,0.939878,0.836606,0.773549,0.010313,0.020514,0.009557,0.1446,0.0,1.0,0.0
73,0.022757,0.933067,0.836899,0.771535,0.011365,0.04526,0.009579,0.1464,0.0,1.0,0.0
74,0.038756,0.908092,0.837177,0.768512,0.012191,0.148661,0.006996,0.1482,0.0,1.0,0.0
75,0.059241,0.902223,0.837062,0.754375,0.013418,0.13689,0.002398,0.15,0.0,1.0,0.0
76,0.064224,0.919748,0.837202,0.77179,0.014893,0.050635,0.001164,0.1518,0.0,1.0,0.0
77,0.035575,0.90128,0.837037,0.764456,0.016702,0.13065,0.001929,0.1536,0.0,1.0,0.0
78,0.015024,0.916124,0.837224,0.7806,0.018045,0.142325,0.000937,0.1554,0.0,1.0,0.0
79,0.026281,0.933352,0.836888,0.79338,0.018991,0.01825,0.000178,0.1572,0.0,1.0,0.0
80,0.034492,0.928255,0.837049,0.79417,0.020241,0.047969,0.001028,0.159,0.0,1.0,0.0
81,0.046143,0.917441,0.837219,0.79936,0.021448,0.034853,0.000215,0.1608,0.0,1.0,0.0
82,0.030461,0.90208,0.837058,0.776367,0.022469,0.220601,0.002298,0.1626,0.0,1.0,0.0
83,0.025782,0.921515,0.837183,0.765667,0.023754,0.197502,0.005711,0.1644,0.0,1.0,0.0
