cycle,self_state,stability,adaptive_score,rigidity,truth_load,bridge_load,shadow_load,noise,contradiction,pressure,drift
59,0.001458,0.923267,0.837157,0.738215,0.004322,0.087908,0.011471,0.079,0.177,1.354,0.1475
60,0.003207,0.936521,0.836762,0.7892,0.003416,0.021408,0.011317,0.08,0.18,1.36,0.15
61,0.011684,0.907159,0.837164,0.788685,0.001426,0.212489,0.01349,0.081,0.183,1.366,0.1525
62,-0.002824,0.906314,0.83715,0.78648,0.000153,0.204606,0.01153,0.082,0.186,1.372,0.155
63,-0.006597,0.936979,0.836742,0.781247,0.001509,0.024773,0.009541,0.083,0.189,1.378,0.1575
64,-0.0175,0.91732,0.83722,0.791082,0.00267,0.163002,0.00593,0.084,0.192,1.384,0.16
65,-0.022066,0.933098,0.836897,0.779621,0.003778,0.050327,0.003575,0.085,0.195,1.39,0.1625
66,-0.029124,0.936832,0.836748,0.75919,0.005124,0.034008,0.001421,0.086,0.198,1.396,0.165
67,-0.013319,0.921263,0.837186,0.716634,0.005236,0.126839,0.001154,0.087,0.201,1.402,0.1675
68,-0.003294,0.930753,0.836977,0.738588,0.005451,0.093726,0.003575,0.088,0.204,1.408,0.17
69,0.012937,0.921824,0.837178,0.747741,0.005297,0.061933,0.005046,0.089,0.207,1.414,0.1725
70,-0.002049,0.912757,0.83722,0.79658,0.005121,0.170491,0.007914,0.09,0.21,1.42,0.175
71,0.008675,0.918703,0.837211,0.743101,0.003894,0.08732,0.009901,0.091,0.213,1.426,0.1775
72,0.003493,0.931725,0.836945,0.800942,0.00316,0.027606,0.010945,0.092,0.216,1.432,0.18
73,0.013917,0.924358,0.837137,0.795893,0.002326,0.018111,0.011247,0.093,0.219,1.438,0.1825
74,0.023885,0.925676,0.837111,0.785877,0.000541,0.016949,0.01066,0.094,0.222,1.444,0.185
75,0.021312,0.935382,0.83681,0.801015,0.001341,0.038372,0.009263,0.095,0.225,1.45,0.1875
76,0.016534,0.933895,0.836868,0.783915,0.003098,0.057147,0.007276,0.096,0.228,1.456,0.19
77,0.004915,0.93402,0.836863,0.788539,0.004311,0.0355,0.005284,0.097,0.231,1.462,0.1925
78,0.002505,0.949659,0.836024,0.772766,0.005397,0.012095,0.004147,0.098,0.234,1.468,0.195
79,0.009061,0.942773,0.836454,0.795117,0.006258,0.012337,0.003688,0.099,0.237,1.474,0.1975
80,0.009579,0.944429,0.836359,0.773275,0.007384,0.004414,0.004168,0.1,0.24,1.48,0.2
81,0.021882,0.92213,0.837174,0.784081,0.008964,0.003218,0.003135,0.101,0.243,1.486,0.2025
82,0.023427,0.925482,0.837115,0.797216,0.011519,0.052544,0.002871,0.102,0.246,1.492,0.205
83,0.023361,0.930163,0.836995,0.804195,0.013516,0.041777,0.00311,0.103,0.249,1.498,0.2075
84,0.010646,0.919678,0.837203,0.771522,0.015042,0.045009,0.003475,0.104,0.252,1.504,0.21
85,0.013675,0.929361,0.837019,0.822753,0.016031,0.009123,0.003256,0.105,0.255,1.51,0.2125
86,0.002458,0.925809,0.837108,0.745554,0.016678,0.090618,0.002315,0.106,0.258,1.516,0.215
87,-0.007173,0.927127,0.837078,0.736673,0.016935,0.092161,0.001237,0.107,0.261,1.522,0.2175
88,-0.008097,0.945243,0.83631,0.798924,0.017099,0.009693,0.000271,0.108,0.264,1.528,0.22
89,-0.00274,0.93751,0.836718,0.759325,0.016992,0.074279,0.000165,0.109,0.267,1.534,0.2225
90,0.001277,0.933805,0.836871,0.774622,0.015138,0.082435,0.001149,0.11,0.27,1.54,0.225
91,0.00127,0.937469,0.83672,0.788464,0.013496,0.059453,0.002519,0.111,0.273,1.546,0.2275
92,-0.014479,0.900446,0.837013,0.80037,0.012219,0.209476,0.006458,0.112,0.276,1.552,0.23
93,-0.004816,0.919916,0.837201,0.779201,0.012568,0.053318,0.009243,0.113,0.279,1.558,0.2325
94,-0.006713,0.927117,0.837078,0.828596,0.012179,0.019229,0.010287,0.114,0.282,1.564,0.235
95,0.000811,0.927486,0.837069,0.809462,0.011447,0.008365,0.010397,0.115,0.285,1.57,0.2375
96,-0.003749,0.934597,0.836841,0.798515,0.010159,0.018354,0.010424,0.116,0.288,1.576,0.24
97,-0.01649,0.915926,0.837224,0.721647,0.008294,0.138313,0.009111,0.117,0.291,1.582,0.2425
98,-0.020112,0.931601,0.836949,0.803853,0.005023,0.068149,0.006429,0.118,0.294,1.588,0.245
99,-0.026035,0.935274,0.836814,0.804911,0.001433,0.020778,0.00399,0.119,0.297,1.594,0.2475
100,-0.018913,0.939499,0.836625,0.791607,0.001565,0.001643,0.001767,0.12,0.3,1.6,0.25
101,-0.005143,0.918974,0.837209,0.713431,0.004097,0.145844,0.001298,0.121,0.303,1.606,0.2525
102,0.001038,0.936527,0.836762,0.802697,0.005354,0.033524,0.001986,0.122,0.306,1.612,0.255
103,0.007628,0.927395,0.837071,0.762993,0.005319,0.065136,0.00246,0.123,0.309,1.618,0.2575
104,0.005239,0.926377,0.837096,0.816936,0.004936,0.031408,0.002295,0.124,0.312,1.624,0.26
105,0.02006,0.905326,0.837131,0.774962,0.004212,0.067068,0.002216,0.125,0.315,1.63,0.2625
106,0.013304,0.924805,0.837129,0.80706,0.003753,0.003786,0.002972,0.126,0.318,1.636,0.265
107,0.027,0.900779,0.837023,0.798177,0.003419,0.203211,0.000381,0.127,0.321,1.642,0.2675
108,0.037165,0.909342,0.837193,0.779319,0.003344,0.194877,0.00463,0.128,0.324,1.648,0.27
109,0.033699,0.937429,0.836722,0.770271,0.004789,0.009426,0.009377,0.129,0.327,1.654,0.2725
110,0.034125,0.937947,0.836698,0.781244,0.004956,0.023517,0.012932,0.13,0.33,1.66,0.275
111,0.029484,0.927692,0.837064,0.731423,0.004122,0.088734,0.015323,0.131,0.333,1.666,0.2775
112,0.032546,0.935211,0.836816,0.775673,0.002565,0.023554,0.016479,0.132,0.336,1.672,0.28
113,0.032619,0.933819,0.836871,0.806911,0.000345,0.029668,0.016348,0.133,0.339,1.678,0.2825
114,0.027265,0.923907,0.837146,0.747335,0.002981,0.059883,0.015571,0.134,0.342,1.684,0.285
115,0.039183,0.88335,0.836223,0.792941,0.007158,0.320051,0.020745,0.135,0.345,1.69,0.2875
116,0.037723,0.913186,0.837222,0.817364,0.010915,0.030908,0.024083,0.136,0.348,1.696,0.29
117,0.039853,0.915156,0.837225,0.824216,0.014471,0.024103,0.026479,0.137,0.351,1.702,0.2925
118,0.020759,0.907123,0.837163,0.780009,0.016846,0.083035,0.02892,0.138,0.354,1.708,0.295
119,-0.001569,0.901384,0.83704,0.730703,0.017023,0.160631,0.032192,0.139,0.357,1.714,0.2975
120,-0.014556,0.923907,0.837146,0.808489,0.016221,0.009963,0.033725,0.14,0.36,1.72,0.3
121,-0.011626,0.932949,0.836903,0.81014,0.014988,0.021884,0.034685,0.141,0.363,1.726,0.3025
122,-0.014899,0.937831,0.836704,0.787856,0.014498,0.011979,0.03359,0.142,0.366,1.732,0.305
123,0.00354,0.916087,0.837224,0.767052,0.014142,0.076549,0.031162,0.143,0.369,1.738,0.3075
124,0.006383,0.936112,0.836779,0.797281,0.014539,0.01555,0.027852,0.144,0.372,1.744,0.31
125,0.012424,0.923088,0.83716,0.82092,0.015963,0.013166,0.025126,0.145,0.375,1.75,0.3125
126,0.013224,0.920997,0.837189,0.805641,0.016348,0.024534,0.023133,0.146,0.378,1.756,0.315
127,0.017816,0.915456,0.837225,0.817955,0.016203,0.001186,0.022285,0.147,0.381,1.762,0.3175
128,-0.004628,0.888858,0.836542,0.777591,0.015213,0.203632,0.017307,0.148,0.384,1.768,0.32
129,-0.00638,0.92725,0.837075,0.801595,0.01329,0.033695,0.01317,0.149,0.387,1.774,0.3225
130,0.003604,0.929973,0.837001,0.783588,0.011031,0.005359,0.010867,0.15,0.39,1.78,0.325
131,-0.014126,0.92537,0.837117,0.747423,0.008388,0.05855,0.00887,0.151,0.393,1.786,0.3275
132,-0.021422,0.935207,0.836817,0.779616,0.005342,0.041292,0.007425,0.152,0.396,1.792,0.33
133,-0.018519,0.941636,0.836516,0.806881,0.002393,0.001419,0.006106,0.153,0.399,1.798,0.3325
134,-0.018058,0.942474,0.83647,0.777864,0.000203,0.021472,0.004572,0.154,0.402,1.804,0.335
135,-0.019103,0.933889,0.836868,0.799927,0.000637,0.083203,0.001482,0.155,0.405,1.81,0.3375
136,-0.018772,0.924743,0.83713,0.770304,0.000967,0.082432,0.001525,0.156,0.408,1.816,0.34
137,-0.009822,0.913986,0.837224,0.809699,0.000921,0.048233,0.00423,0.157,0.411,1.822,0.3425
138,-0.006552,0.918022,0.837216,0.810161,0.000909,0.030738,0.005842,0.158,0.414,1.828,0.345
139,-0.005007,0.929296,0.837021,0.823658,0.001511,0.022546,0.008068,0.159,0.417,1.834,0.3475
140,0.010948,0.917679,0.837218,0.794229,0.002456,0.018559,0.009034,0.16,0.42,1.84,0.35
141,-0.001263,0.925302,0.837119,0.786356,0.003859,0.094655,0.007638,0.161,0.423,1.846,0.3525
142,-0.005128,0.925611,0.837112,0.781254,0.005736,0.148947,0.005442,0.162,0.426,1.852,0.355
143,-0.012384,0.926098,0.837102,0.747914,0.00754,0.101646,0.002961,0.163,0.429,1.858,0.3575
144,-0.010275,0.940015,0.836599,0.797223,0.008364,0.027015,0.002168,0.164,0.432,1.864,0.36
145,-0.003259,0.939724,0.836614,0.795969,0.008618,0.012213,0.002154,0.165,0.435,1.87,0.3625
146,0.000261,0.913145,0.837222,0.771973,0.007674,0.272,0.005952,0.166,0.438,1.876,0.365
147,0.012185,0.906152,0.837147,0.775293,0.006517,0.052214,0.007565,0.167,0.441,1.882,0.3675
148,0.017532,0.90662,0.837155,0.7964,0.004156,0.070593,0.009044,0.168,0.444,1.888,0.37
149,0.007114,0.900217,0.837006,0.795655,0.002473,0.089033,0.008596,0.169,0.447,1.894,0.3725
150,-0.013569,0.899452,0.836983,0.799683,0.002279,0.023607,0.009079,0.17,0.45,1.9,0.375
