cycle,self_state,stability,adaptive_score,rigidity,truth_load,bridge_load,shadow_load,noise,contradiction,pressure,drift
186,0.004738,0.944322,0.836365,0.812991,0.002401,0.003364,6e-06,0.02,0.0,1.0,0.0
187,0.003621,0.944148,0.836375,0.811316,0.002245,0.0096,4.6e-05,0.02,0.0,1.0,0.0
188,0.003825,0.946012,0.836263,0.810803,0.002083,0.004408,0.000107,0.02,0.0,1.0,0.0
189,0.000453,0.943402,0.836418,0.803806,0.001874,0.00402,0.000309,0.02,0.0,1.0,0.0
190,0.001578,0.945547,0.836292,0.812358,0.00167,0.001154,0.00038,0.02,0.0,1.0,0.0
191,0.000501,0.944531,0.836353,0.803907,0.001442,0.014902,0.000297,0.02,0.0,1.0,0.0
192,0.001312,0.946054,0.836261,0.810201,0.001297,0.00071,0.000155,0.02,0.0,1.0,0.0
193,0.002262,0.945066,0.836321,0.811309,0.001318,0.005383,0.00011,0.02,0.0,1.0,0.0
194,0.003803,0.944378,0.836362,0.805715,0.001315,0.004666,3.4e-05,0.02,0.0,1.0,0.0
195,0.00254,0.944605,0.836349,0.81202,0.001249,0.003309,0.000162,0.02,0.0,1.0,0.0
196,0.001104,0.945358,0.836303,0.807057,0.001121,0.005897,0.000255,0.02,0.0,1.0,0.0
197,0.001633,0.945938,0.836268,0.810176,0.001047,0.004658,0.000289,0.02,0.0,1.0,0.0
198,0.001586,0.945514,0.836294,0.811997,0.001012,0.007204,0.000434,0.02,0.0,1.0,0.0
199,0.000992,0.94538,0.836302,0.810285,0.001017,0.004668,0.000547,0.02,0.0,1.0,0.0
200,0.002837,0.943977,0.836385,0.803072,0.000989,0.011294,0.000604,0.02,0.0,1.0,0.0
201,0.002804,0.946451,0.836236,0.810844,0.000935,0.005078,0.000568,0.02,0.0,1.0,0.0
202,-0.000363,0.942881,0.836448,0.801766,0.00086,0.011827,0.000516,0.02,0.0,1.0,0.0
203,-0.001187,0.944943,0.836328,0.807843,0.000773,0.009019,0.000527,0.02,0.0,1.0,0.0
204,-0.001363,0.945881,0.836271,0.812878,0.00066,0.003845,0.000589,0.02,0.0,1.0,0.0
205,-0.000466,0.944931,0.836329,0.813142,0.000631,0.004159,0.000753,0.02,0.0,1.0,0.0
206,0.001979,0.941819,0.836506,0.79863,0.000627,0.022187,0.000703,0.02,0.0,1.0,0.0
207,-0.001364,0.941569,0.836519,0.798294,0.000571,0.017941,0.000677,0.02,0.0,1.0,0.0
208,-0.000852,0.945591,0.836289,0.810522,0.000491,0.005319,0.000599,0.02,0.0,1.0,0.0
209,0.00246,0.942624,0.836462,0.801014,0.000455,0.012155,0.000541,0.02,0.0,1.0,0.0
210,0.002765,0.945172,0.836315,0.813993,0.000426,0.003723,0.000592,0.02,0.0,1.0,0.0
211,0.004247,0.944888,0.836332,0.810555,0.000485,0.001625,0.000737,0.02,0.0,1.0,0.0
212,0.000128,0.942318,0.836479,0.798447,0.000489,0.013313,0.000788,0.02,0.0,1.0,0.0
213,-0.003458,0.943135,0.836433,0.807437,0.00035,0.001136,0.000627,0.02,0.0,1.0,0.0
214,-0.001105,0.944565,0.836351,0.809106,0.000261,0.000414,0.000602,0.02,0.0,1.0,0.0
215,0.000436,0.945291,0.836307,0.809014,0.000179,0.001246,0.000662,0.02,0.0,1.0,0.0
216,-0.00021,0.945001,0.836325,0.80877,5.1e-05,0.012461,0.000867,0.02,0.0,1.0,0.0
217,0.000929,0.944531,0.836353,0.805204,7.2e-05,0.011568,0.000941,0.02,0.0,1.0,0.0
218,0.001911,0.94503,0.836323,0.810737,9.3e-05,0.0032,0.000991,0.02,0.0,1.0,0.0
219,0.000441,0.944249,0.836369,0.806231,9.4e-05,0.011192,0.001079,0.02,0.0,1.0,0.0
220,0.000812,0.945946,0.836267,0.813339,6.6e-05,0.001837,0.001185,0.02,0.0,1.0,0.0
