cycle,event,bodies,active_bodies,light,shadow,mercury,agreements,spread,structural_stability,vitality,viability,field_charge,lattice_coherence,recursion_depth,confidence_decay,avg_trust,avg_fatigue,lineage_density,archetype_resonance,elder_feedback,closures,recursions,suspicious_closures,dream_cycles,rem_cycles,healing_cycles,renewal_cycles,new_variants,unknown_events,alpha_alerts,omega_alerts,alpha_alert,omega_alert
28,drift,40,18,0.579059,0.495731,0.648622,2,0.152891,0.956478,0.807299,0.948217,0.46593,0.933502,0,0.217646,0.839925,0,0.893938,0.806546,0.6725,28,0,0,28,28,28,0,0,1,0,0,False,False
29,drift,40,18,0.612341,0.474349,0.521411,2,0.137992,0.959591,0.808845,0.952133,0.464378,0.938581,0,0.214235,0.842581,0,0.907715,0.82781,0.6725,29,0,0,29,29,29,0,0,1,0,0,False,False
30,drift,40,18,0.602736,0.49848,0.603483,3,0.105004,0.962623,0.810349,0.955958,0.462503,0.943607,0,0.219096,0.845002,0,0.919839,0.852865,0.6725,30,0,0,30,30,30,0,0,1,0,0,False,False
31,drift,40,18,0.606221,0.489977,0.6018,2,0.116245,0.965575,0.811811,0.959691,0.460874,0.94857,0,0.215568,0.847357,0,0.930509,0.874583,0.6725,31,0,0,31,31,31,0,0,1,0,0,False,False
32,drift,40,18,0.570513,0.505783,0.511839,3,0.06473,0.968449,0.813234,0.963331,0.458694,0.953442,0,0.220323,0.848897,0,0.939898,0.902607,0.6725,32,0,0,32,32,32,0,0,1,0,0,False,False
33,drift,40,18,0.59513,0.499701,0.549942,3,0.095429,0.971245,0.814618,0.966878,0.457017,0.958202,0,0.224697,0.850286,0,0.94816,0.923884,0.6725,33,0,0,33,33,33,0,0,1,0,0,False,False
34,drift,40,18,0.58867,0.48454,0.532848,3,0.10413,0.973965,0.815964,0.970331,0.455545,0.962832,0,0.228721,0.851339,0,0.955431,0.942311,0.6725,34,0,0,34,34,34,0,0,1,0,0,False,False
35,drift,40,18,0.619224,0.483372,0.48798,1,0.135851,0.976609,0.817275,0.973691,0.454555,0.967318,0,0.224423,0.852265,0,0.961829,0.954649,0.6725,35,0,0,35,35,35,0,0,1,0,0,False,False
36,drift,40,18,0.605924,0.503201,0.569268,3,0.102723,0.979179,0.818549,0.97696,0.453211,0.971667,0,0.22847,0.85309,0,0.967459,0.971172,0.6725,36,0,0,36,36,36,0,0,1,0,0,False,False
37,drift,40,18,0.586125,0.482901,0.638004,2,0.155103,0.981677,0.81979,0.980137,0.452601,0.975868,0,0.224192,0.853915,0,0.972414,0.978582,0.6725,37,0,0,37,37,37,0,0,1,0,0,False,False
38,drift,40,18,0.60224,0.483422,0.510444,2,0.118817,0.984103,0.820997,0.983227,0.451579,0.979935,0,0.220257,0.85474,0,0.976775,0.991044,0.6725,38,0,0,38,38,38,0,0,1,0,0,False,False
39,drift,40,18,0.583651,0.505352,0.587011,3,0.081658,0.98646,0.822172,0.986231,0.450155,0.983868,0,0.224636,0.855565,0,0.980612,1,0.6725,39,0,0,39,39,39,0,0,1,0,0,False,False
40,drift,40,18,0.580336,0.490126,0.499637,3,0.09021,0.988749,0.823316,0.989148,0.44892,0.987654,0,0.228665,0.85639,0,0.983988,1,0.6725,40,0,0,40,40,40,0,0,1,0,0,False,False
41,drift,40,18,0.600172,0.500398,0.565313,3,0.099774,0.990971,0.82443,0.991982,0.447879,0.9913,0,0.232372,0.857215,0,0.98696,1,0.6725,41,0,0,41,41,41,0,0,1,0,0,False,False
42,drift,40,18,0.583589,0.500923,0.526568,3,0.082666,0.993128,0.825514,0.994734,0.446687,0.994811,0,0.235782,0.85804,0,0.989575,1,0.6725,42,0,0,42,42,42,0,0,1,0,0,False,False
43,drift,40,18,0.589494,0.508174,0.517465,3,0.08132,0.995222,0.826569,0.997345,0.445549,0.997423,0,0.23892,0.858865,0,0.991876,1,0.6725,43,0,0,43,43,43,0,0,1,0,0,False,False
44,drift,40,18,0.589202,0.489235,0.545166,3,0.099967,0.997254,0.827597,0.999684,0.444712,0.997469,0,0.241806,0.85969,0,0.993901,1,0.6725,44,0,0,44,44,44,0,0,1,0,0,False,False
45,drift,40,18,0.587651,0.496876,0.504352,3,0.090775,0.999226,0.828598,1,0.443814,0.997515,0,0.244462,0.860515,0,0.995682,1,0.6725,45,0,0,45,45,45,0,0,1,0,0,False,False
46,drift,40,18,0.595769,0.489941,0.477121,2,0.118648,1,0.829573,1,0.443321,0.99756,0,0.238905,0.86134,0,0.997251,1,0.6725,46,0,0,46,46,46,0,0,1,0,0,False,False
47,drift,40,18,0.597631,0.479929,0.498817,2,0.117702,1,0.830523,1,0.442852,0.997605,0,0.233792,0.862165,0,0.99863,1,0.6725,47,0,0,47,47,47,0,0,1,0,0,False,False
48,drift,40,18,0.593484,0.520518,0.609823,3,0.089306,1,0.831448,1,0.442063,0.997649,0,0.237089,0.86299,0,0.999845,1,0.6725,48,0,0,48,48,48,0,0,1,0,0,False,False
49,drift,40,18,0.603931,0.498888,0.613397,3,0.114508,1,0.83235,1,0.44164,0.997691,0,0.240122,0.863815,0,1,1,0.6725,49,0,0,49,49,49,0,0,1,0,0,False,False
50,drift,40,18,0.58547,0.493968,0.512699,3,0.091502,1,0.833228,1,0.440961,0.997732,0,0.242912,0.86464,0,1,1,0.6725,50,0,0,50,50,50,0,0,1,0,0,False,False
