cycle,use_mercury,cohesion,structural_stability,vitality,viability,rigidity,dissent,identity_drift,light_power,shadow_power,mercury_power,bridge_tension,mercury_motion,alliance_shift,emergence,jester_pulse,judge_closure
154,True,1,0.807082,0.69355,0.695783,0.358317,1,0.025038,0.512828,0.480683,0.562681,0.032551,0.034131,0.043945,0.946228,0.0,1
155,True,1,0.803536,0.692816,0.692461,0.358496,1,0.025394,0.512916,0.472979,0.531132,0.03367,0.034698,0.042442,0.945804,0.0,1
156,True,1,0.815678,0.708262,0.708594,0.35864,1,0.021294,0.504299,0.490606,0.550834,0.034837,0.037314,0.052568,0.945444,0.0,1
157,True,1,0.797932,0.708562,0.693285,0.358774,1,0.026477,0.513916,0.484385,0.539404,0.035169,0.037726,0.05225,0.945138,0.0,1
158,True,1,0.794008,0.718585,0.693458,0.358882,1,0.026987,0.499121,0.478164,0.540541,0.036323,0.03971,0.058368,0.94484,0.0,1
159,True,1,0.785339,0.749729,0.696892,0.358918,1,0.027424,0.49656,0.469913,0.570696,0.041879,0.046395,0.076349,0.944683,0.0,1
160,True,0.99867,0.77711,0.769511,0.696508,0.358911,1,0.028414,0.503015,0.482938,0.569717,0.044754,0.050643,0.087759,0.944612,0.0,1
161,True,0.995331,0.772948,0.791156,0.700307,0.358853,1,0.027873,0.493917,0.466825,0.56723,0.048747,0.055713,0.099532,0.944638,0.2,1
162,True,0.999952,0.757283,0.820451,0.696097,0.358741,1,0.031481,0.486057,0.482924,0.580542,0.051687,0.061361,0.11742,0.94478,0.2,1
163,True,0.996938,0.761414,0.815799,0.6983,0.358637,1,0.030603,0.494749,0.475591,0.544046,0.050598,0.061013,0.113655,0.944881,0.2,1
164,True,0.996717,0.769224,0.822923,0.707928,0.358525,1,0.028403,0.492423,0.486839,0.560207,0.050294,0.062352,0.118038,0.945012,0.2,1
165,True,0.991285,0.777113,0.820237,0.714249,0.358423,1,0.026505,0.483631,0.475732,0.538415,0.048763,0.061845,0.116344,0.945147,0.0,1
166,True,0.995264,0.783152,0.841797,0.727398,0.358284,1,0.023932,0.475384,0.47483,0.566484,0.050984,0.06598,0.129515,0.945374,0.0,1
167,True,0.995691,0.799844,0.85871,0.748989,0.358116,1,0.018135,0.48823,0.483914,0.577458,0.053033,0.069537,0.139303,0.945685,0.0,1
168,True,0.999768,0.795768,0.866574,0.747989,0.357931,1,0.01863,0.487558,0.468053,0.565066,0.055128,0.072018,0.142446,0.946082,0.0,1
169,True,1,0.79347,0.877541,0.749744,0.357724,1,0.018431,0.481544,0.4643,0.565922,0.0574,0.074955,0.147708,0.946519,0.0,1
170,True,1,0.790449,0.888219,0.750688,0.357505,1,0.019211,0.479804,0.481806,0.571257,0.058042,0.077125,0.153947,0.946986,0.0,1
171,True,1,0.778669,0.899896,0.743593,0.357265,1,0.021636,0.481425,0.463346,0.572189,0.060656,0.0803,0.159463,0.947493,0.0,1
172,True,1,0.783777,0.893887,0.746351,0.357042,1,0.02057,0.483481,0.471163,0.55215,0.059456,0.079534,0.155038,0.947949,0.0,1
173,True,1,0.786241,0.891741,0.747938,0.356831,1,0.019993,0.48055,0.468118,0.553209,0.058965,0.079442,0.153094,0.948395,0.0,1
174,True,1,0.783879,0.908215,0.751503,0.356597,1,0.019945,0.476443,0.474722,0.577821,0.060723,0.082633,0.163026,0.948894,0.0,1
175,True,1,0.785398,0.910505,0.753768,0.35637,1,0.019691,0.473451,0.475763,0.56045,0.060233,0.083083,0.164296,0.949385,0.0,1
176,True,1,0.78315,0.90189,0.748574,0.356166,1,0.020937,0.480363,0.46899,0.547915,0.058862,0.081704,0.158458,0.949833,0.0,1
177,True,1,0.776979,0.910588,0.745717,0.355951,1,0.022238,0.473381,0.46157,0.564007,0.060559,0.08378,0.163016,0.950297,0.0,1
178,True,1,0.790682,0.907614,0.75781,0.355751,1,0.018398,0.469595,0.476046,0.552662,0.059627,0.083229,0.161059,0.950723,0.0,1
179,True,0.995781,0.792055,0.896931,0.755319,0.355583,1,0.018894,0.464275,0.460822,0.529259,0.057106,0.080916,0.154841,0.951119,0.0,1
180,True,0.995289,0.780575,0.890488,0.742108,0.355432,1,0.022471,0.47305,0.456902,0.539172,0.056699,0.079975,0.150321,0.951478,0.0,1
181,True,1,0.780566,0.882933,0.739446,0.355302,1,0.023217,0.479229,0.46746,0.542755,0.055529,0.078496,0.145667,0.951766,0.0,1
182,True,1,0.768905,0.859358,0.720241,0.355223,1,0.027887,0.485256,0.463519,0.521376,0.052477,0.074085,0.130982,0.95195,0.0,1
183,True,1,0.778295,0.83857,0.721757,0.355193,1,0.026864,0.481197,0.472014,0.517481,0.048487,0.069436,0.119299,0.951998,0.0,1
184,True,0.999406,0.781267,0.811675,0.715057,0.355227,1,0.028062,0.477717,0.471846,0.500237,0.043166,0.063279,0.104448,0.951929,0.2,1
185,True,1,0.773898,0.819639,0.711087,0.355251,1,0.030066,0.471997,0.47006,0.539648,0.043747,0.064026,0.110618,0.951867,0.2,1
186,True,1,0.779928,0.80816,0.712598,0.355306,1,0.029692,0.468298,0.468566,0.510124,0.040891,0.060899,0.105118,0.951729,0.2,1
187,True,1,0.784568,0.793883,0.711797,0.35539,1,0.028922,0.485318,0.473515,0.517793,0.038844,0.057746,0.097084,0.951536,0.2,1
188,True,0.996071,0.790217,0.786434,0.714273,0.355491,1,0.027739,0.476712,0.472057,0.516856,0.037228,0.055608,0.093725,0.951313,0.0,1
189,True,1,0.797693,0.764223,0.713058,0.355639,1,0.027417,0.47397,0.480365,0.496621,0.033245,0.050546,0.081482,0.951006,0.0,1
190,True,1,0.806319,0.738265,0.71135,0.355841,1,0.027047,0.483078,0.481327,0.475448,0.028177,0.044415,0.067537,0.95059,0.0,1
191,True,1,0.799695,0.726325,0.70121,0.356063,1,0.029475,0.492044,0.48119,0.510284,0.026596,0.041511,0.061326,0.950133,0.0,1
192,True,1,0.792026,0.71301,0.689739,0.356308,1,0.032742,0.484234,0.492259,0.505979,0.024418,0.038182,0.054549,0.949606,0.0,1
193,True,1,0.79458,0.695141,0.685575,0.356584,1,0.033344,0.484152,0.474315,0.487499,0.021605,0.033993,0.044978,0.948988,0.0,1
194,True,1,0.815853,0.677178,0.697334,0.356894,1,0.028263,0.49178,0.484467,0.486873,0.018594,0.029409,0.035982,0.948295,0.0,1
195,True,1,0.819761,0.662538,0.695274,0.357228,1,0.027616,0.48447,0.498406,0.49372,0.016919,0.025611,0.028786,0.947591,0.0,1
196,True,1,0.819487,0.65358,0.691738,0.357572,1,0.028392,0.488663,0.493846,0.484063,0.015048,0.023033,0.024868,0.946865,0.0,1
197,True,1,0.830689,0.655661,0.701972,0.357902,1,0.025014,0.489844,0.481247,0.463186,0.015538,0.022938,0.027119,0.946156,0.0,1
198,True,1,0.82916,0.645772,0.69699,0.358239,1,0.025406,0.499394,0.478434,0.481594,0.015256,0.020752,0.021695,0.945456,0.0,1
199,True,1,0.827468,0.674008,0.706081,0.35851,1,0.024485,0.502349,0.501256,0.445167,0.019372,0.025775,0.039792,0.944877,0.0,1
200,True,0.998857,0.827841,0.666014,0.703422,0.358788,1,0.02455,0.498193,0.505123,0.488978,0.017822,0.023942,0.035519,0.944289,0.0,1
201,True,0.998729,0.83585,0.67121,0.712181,0.359045,1,0.021848,0.494234,0.500188,0.46744,0.018544,0.024758,0.039133,0.943738,0.0,1
