cycle,use_mercury,cohesion,structural_stability,vitality,viability,rigidity,dissent,identity_drift,light_power,shadow_power,mercury_power,bridge_tension,mercury_motion,alliance_shift,emergence,jester_pulse,judge_closure
42,False,1,0.837965,0.440951,0.627156,0.326204,0.266869,0.00371,0.534639,0.467979,0.0,0.065601,0.0,0.0,0.965596,0.0,0
43,False,1,0.837091,0.443342,0.627403,0.325556,0.266856,0.003255,0.540971,0.460791,0.0,0.067642,0.0,0.0,0.966172,0.0,0
44,False,1,0.836696,0.442751,0.626885,0.324934,0.266838,0.003634,0.524245,0.461334,0.0,0.06698,0.0,0.0,0.966725,0.0,0
45,False,1,0.836673,0.438217,0.62516,0.324337,0.266779,0.005354,0.517446,0.480673,0.0,0.062751,0.0,0.0,0.967256,0.0,0
46,False,1,0.832562,0.437172,0.621697,0.323763,0.266711,0.007024,0.528253,0.472997,0.0,0.061701,0.0,0.0,0.967766,0.2,0
47,False,1,0.828028,0.435575,0.617716,0.323213,0.26663,0.008977,0.518906,0.468225,0.0,0.060159,0.0,0.0,0.968255,0.2,0
48,False,1,0.832616,0.432933,0.620149,0.322684,0.266526,0.008755,0.511559,0.469121,0.0,0.057678,0.0,0.0,0.968725,0.2,0
49,False,1,0.833745,0.431934,0.620615,0.322177,0.266416,0.008786,0.523695,0.473023,0.0,0.056697,0.0,0.0,0.969176,0.2,0
50,False,1,0.832147,0.431585,0.619295,0.32169,0.266305,0.009666,0.519853,0.465907,0.0,0.056312,0.0,0.0,0.969609,0.0,0
51,False,1,0.841319,0.427607,0.624615,0.321222,0.26616,0.008419,0.508776,0.47868,0.0,0.052642,0.0,0.0,0.970025,0.0,0
52,False,1,0.848826,0.425449,0.629364,0.320773,0.266,0.007086,0.511844,0.473531,0.0,0.050636,0.0,0.0,0.970424,0.0,0
53,False,1,0.845512,0.4242,0.626432,0.320342,0.265832,0.008592,0.507197,0.464948,0.0,0.049461,0.0,0.0,0.970807,0.0,0
54,False,1,0.84381,0.421548,0.624163,0.319929,0.265645,0.010118,0.506611,0.47458,0.0,0.047021,0.0,0.0,0.971175,0.0,0
55,False,1,0.845947,0.418507,0.624586,0.319531,0.265435,0.010542,0.503125,0.475982,0.0,0.044238,0.0,0.0,0.971528,0.0,0
56,False,1,0.845028,0.413088,0.621847,0.31915,0.265183,0.01281,0.489707,0.480673,0.0,0.03931,0.0,0.0,0.971866,0.0,0
57,False,1,0.855134,0.408502,0.627519,0.318784,0.264896,0.011695,0.495759,0.486146,0.0,0.035152,0.0,0.0,0.972192,0.0,0
58,False,1,0.858673,0.405247,0.628859,0.318433,0.264587,0.011766,0.49822,0.484047,0.0,0.032215,0.0,0.0,0.972504,0.0,0
59,False,1,0.866766,0.402597,0.633752,0.318096,0.264264,0.010528,0.504877,0.489665,0.0,0.029835,0.0,0.0,0.972804,0.0,0
60,False,1,0.867671,0.400632,0.633647,0.317772,0.263931,0.010909,0.497586,0.480258,0.0,0.028084,0.0,0.0,0.973092,0.0,0
61,False,1,0.867307,0.397546,0.632176,0.317461,0.263579,0.012194,0.497776,0.489427,0.0,0.025321,0.0,0.0,0.973368,0.0,1
62,False,1,0.86758,0.395851,0.631713,0.317162,0.263222,0.012807,0.478996,0.493654,0.0,0.023828,0.0,0.0,0.973633,0.0,1
63,False,1,0.868998,0.395807,0.632729,0.316876,0.262874,0.012543,0.476165,0.500047,0.0,0.023836,0.0,0.0,0.973888,0.0,1
64,False,1,0.87367,0.392873,0.634977,0.316601,0.262509,0.012233,0.496917,0.491739,0.0,0.021223,0.0,0.0,0.974133,0.0,1
65,False,1,0.868735,0.392065,0.631074,0.316337,0.262147,0.013676,0.479888,0.496265,0.0,0.020545,0.0,0.0,0.974367,0.0,1
66,False,1,0.873933,0.388914,0.633611,0.316083,0.261766,0.013552,0.488081,0.487536,0.0,0.017745,0.0,0.0,0.974593,0.0,1
67,False,1,0.872183,0.390549,0.632984,0.31584,0.26141,0.013394,0.48217,0.510951,0.0,0.01929,0.0,0.0,0.974809,0.0,1
68,False,1,0.872966,0.391071,0.633757,0.315606,0.261068,0.012948,0.487473,0.510558,0.0,0.019821,0.0,0.0,0.975017,0.0,1
69,False,1,0.872046,0.39132,0.633187,0.315382,0.260737,0.01308,0.475514,0.49735,0.0,0.020103,0.0,0.0,0.975216,0.2,1
70,False,1,0.86773,0.390434,0.629707,0.315167,0.260408,0.014644,0.478538,0.493288,0.0,0.019354,0.0,0.0,0.975407,0.2,1
71,False,1,0.865095,0.390854,0.627959,0.31496,0.26009,0.015538,0.48207,0.504543,0.0,0.01979,0.0,0.0,0.975591,0.2,1
72,False,1,0.865802,0.391161,0.628591,0.314762,0.259784,0.014952,0.483212,0.505375,0.0,0.020123,0.0,0.0,0.975767,0.2,1
