cycle,use_mercury,cohesion,structural_stability,vitality,viability,rigidity,dissent,identity_drift,light_power,shadow_power,mercury_power,bridge_tension,mercury_motion,alliance_shift,emergence,jester_pulse,judge_closure
198,True,0.998185,0.90869,0.657313,0.768562,0.358915,1,0.001756,0.487192,0.488966,0.476223,0.014706,0.022019,0.029711,0.94797,0.0,1
199,True,1,0.900888,0.663961,0.764658,0.35918,1,0.003406,0.491995,0.477709,0.452845,0.016757,0.023417,0.033714,0.947445,0.0,1
200,True,1,0.895501,0.679286,0.766261,0.359405,1,0.003934,0.499538,0.502585,0.458083,0.019081,0.026156,0.043553,0.94698,0.0,1
201,True,1,0.900515,0.676361,0.769366,0.359628,1,0.002838,0.494354,0.497901,0.475765,0.018303,0.025345,0.042278,0.946511,0.0,1
202,True,1,0.881366,0.697491,0.761386,0.359799,1,0.007121,0.499616,0.50525,0.446688,0.022036,0.029601,0.054994,0.946153,0.0,1
203,True,1,0.879157,0.713578,0.765842,0.359923,1,0.005924,0.517614,0.501235,0.452119,0.025929,0.03348,0.063641,0.94585,0.0,1
204,True,1,0.898285,0.711701,0.781746,0.360045,1,-0.000589,0.503495,0.508063,0.474556,0.025282,0.033164,0.062488,0.945561,0.0,1
205,True,1,0.895801,0.718911,0.782491,0.360143,1,-0.000584,0.51446,0.503328,0.462704,0.026942,0.034987,0.06624,0.945362,0.0,1
206,True,1,0.890939,0.734151,0.784354,0.360206,1,-0.001315,0.504881,0.50261,0.44671,0.029073,0.038074,0.075352,0.945231,0.0,1
207,True,1,0.872035,0.745235,0.772061,0.360239,1,-0.005781,0.514098,0.504411,0.45198,0.031294,0.040762,0.081254,0.945152,0.2,1
208,True,1,0.883886,0.751876,0.785195,0.360253,1,-0.001768,0.514782,0.505223,0.456466,0.032659,0.042551,0.084506,0.945077,0.2,1
209,True,0.997388,0.87582,0.776731,0.787826,0.360213,1,-0.002268,0.520818,0.516117,0.437996,0.036719,0.047859,0.098853,0.945142,0.2,1
210,True,1,0.873101,0.800953,0.794896,0.360118,1,-0.00119,0.506428,0.519379,0.424284,0.041521,0.053566,0.11194,0.945315,0.2,1
211,True,1,0.863985,0.829724,0.797782,0.359962,1,-0.002057,0.516976,0.524558,0.420964,0.046478,0.060039,0.127957,0.945621,0.0,1
212,True,1,0.862534,0.849968,0.804301,0.359766,1,-0.00102,0.521011,0.516815,0.425334,0.049594,0.064735,0.138958,0.946002,0.0,1
213,True,1,0.856613,0.853493,0.800138,0.359563,1,-0.002675,0.526255,0.515218,0.444428,0.050486,0.066355,0.139483,0.946411,0.0,1
214,True,0.999579,0.851819,0.859932,0.798129,0.359346,1,-0.003014,0.515455,0.53209,0.440637,0.052373,0.068704,0.141513,0.946839,0.0,1
215,True,0.996632,0.853802,0.888107,0.810811,0.359076,1,-0.000427,0.529114,0.52258,0.412429,0.056948,0.074964,0.157271,0.947375,0.0,1
216,True,1,0.855023,0.887682,0.811807,0.358815,1,0.000614,0.522541,0.520488,0.444394,0.056075,0.075266,0.156255,0.947919,0.0,1
217,True,1,0.827164,0.907747,0.792825,0.358516,1,0.007403,0.539611,0.531468,0.425136,0.059718,0.080185,0.167536,0.948541,0.0,1
218,True,1,0.828841,0.911584,0.795864,0.35821,1,0.006548,0.525542,0.519602,0.427433,0.060742,0.082279,0.170897,0.949128,0.0,1
219,True,1,0.833664,0.910857,0.800222,0.357923,1,0.005639,0.540303,0.535585,0.459212,0.059539,0.081782,0.167267,0.949692,0.0,1
220,True,1,0.81827,0.915445,0.787135,0.357623,1,0.009181,0.546939,0.527263,0.437333,0.061975,0.0843,0.169786,0.950293,0.0,1
221,True,1,0.810552,0.903681,0.77542,0.357367,1,0.012852,0.543199,0.539884,0.478303,0.058607,0.081352,0.160461,0.950787,0.0,1
222,True,1,0.801845,0.911715,0.769989,0.357103,1,0.015057,0.525457,0.532516,0.434444,0.059826,0.083198,0.164774,0.95127,0.0,1
223,True,0.99959,0.803895,0.904246,0.769256,0.356865,1,0.014914,0.541868,0.534493,0.464323,0.058363,0.081891,0.159887,0.951693,0.0,1
