run,recovery_rhythm,avg_structural_stability,min_structural_stability,avg_vitality,avg_viability,avg_field_charge,max_field_charge,avg_lattice_coherence,max_recursion_depth,recursions,closures,alpha_alerts,omega_alerts,avg_recovery_phase,symbiote_repairs,fracture_sensitivity
v10_extreme_dampened,False,0.818,0.742,0.787,0.739,0.701,0.824,0.827,8,132,259,6,4,0.0,0,0.0
v11_extreme_recovery,True,0.826,0.758,0.776,0.746,0.663,0.788,0.841,7,119,272,2,3,0.314,47,0.73
v10_contradiction_dampened,False,0.826,0.758,0.779,0.743,0.687,0.803,0.835,7,121,271,3,3,0.0,0,0.0
v11_contradiction_recovery,True,0.832,0.771,0.769,0.748,0.641,0.762,0.847,6,110,284,1,2,0.287,39,0.71
v11_normal_recovery,True,0.845,0.806,0.731,0.75,0.604,0.691,0.867,5,86,309,0,1,0.112,12,0.54
v11_drift_recovery,True,0.837,0.781,0.752,0.749,0.625,0.731,0.851,6,96,294,0,2,0.241,34,0.76
