cycle,use_mercury,stability,adaptive_score,rigidity,dissent,identity_drift,light_power,shadow_power,mercury_power,bridge_tension,mercury_motion,alliance_shift,emergence,jester_pulse,judge_closure
144,True,1,0.83,0.426848,1,-0.002634,0.5253,0.514944,0.503719,0.031665,0.043792,0.05178,0.954209,0.0,1
145,True,1,0.83,0.427636,1,-0.002444,0.522204,0.496697,0.512739,0.029026,0.038122,0.041424,0.95376,0.0,1
146,True,1,0.83,0.428502,1,-0.004341,0.527449,0.498803,0.513713,0.027239,0.032867,0.033139,0.953209,0.0,1
147,True,1,0.83,0.42941,1,-0.006742,0.520491,0.49834,0.519192,0.024994,0.029634,0.026512,0.952599,0.0,1
148,True,1,0.83,0.430324,1,-0.006668,0.521682,0.490787,0.521264,0.024202,0.02759,0.021209,0.95197,0.0,1
149,True,1,0.83,0.431236,1,-0.008876,0.52195,0.501632,0.529339,0.023171,0.026184,0.019923,0.951321,0.0,1
150,True,1,0.83,0.432149,1,-0.007105,0.523224,0.489752,0.517959,0.023017,0.024124,0.015938,0.950665,0.0,1
151,True,1,0.83,0.433007,1,-0.003859,0.517974,0.49376,0.534552,0.023769,0.024763,0.019382,0.950064,0.0,1
152,True,1,0.83,0.433771,1,-0.001777,0.523217,0.482472,0.541091,0.026525,0.02665,0.022655,0.949534,0.0,1
153,True,1,0.83,0.434445,1,-0.002743,0.499891,0.479822,0.534534,0.028316,0.029174,0.031982,0.949067,0.0,1
154,True,1,0.83,0.435125,1,-0.003091,0.509013,0.48646,0.518124,0.027019,0.027944,0.02923,0.94859,0.0,1
155,True,1,0.83,0.435708,1,-0.00514,0.50795,0.485162,0.544304,0.029252,0.030717,0.037925,0.948173,0.0,1
156,True,1,0.83,0.436318,1,-0.008227,0.507954,0.496678,0.52138,0.026951,0.029085,0.03571,0.947719,0.0,1
157,True,1,0.83,0.436815,1,-0.012788,0.507232,0.485706,0.550643,0.029892,0.032598,0.045933,0.947324,0.0,1
158,True,1,0.83,0.437174,1,-0.009883,0.503045,0.485388,0.561165,0.033605,0.037407,0.059994,0.947057,0.0,1
159,True,1,0.83,0.437474,1,-0.010997,0.500826,0.494697,0.550753,0.034283,0.039589,0.067966,0.946836,0.0,1
160,True,1,0.83,0.437695,1,-0.010697,0.496633,0.492477,0.556008,0.035736,0.04265,0.078123,0.946685,0.0,1
161,True,1,0.83,0.437858,1,-0.014444,0.490832,0.490042,0.55026,0.036529,0.045054,0.086269,0.946566,0.2,1
162,True,1,0.83,0.438039,1,-0.021258,0.499616,0.472086,0.522716,0.03603,0.043907,0.078255,0.946386,0.2,1
