cycle,use_mercury,stability,adaptive_score,rigidity,dissent,identity_drift,light_power,shadow_power,mercury_power,bridge_tension,mercury_motion,alliance_shift,emergence,jester_pulse,judge_closure
1,True,0.894983,0.836824,0.388784,0.260396,0.013604,0.510124,0.506416,0.513882,0.041896,0.000786,0.001503,0.900634,0.2,0
2,True,0.905952,0.837143,0.387646,0.270498,0.011042,0.501826,0.526287,0.506889,0.03729,0.001679,0.001203,0.901279,0.2,0
3,True,0.922931,0.837162,0.386601,0.280186,0.010954,0.517025,0.5146,0.510414,0.031371,0.0022,0.002636,0.901913,0.2,0
4,True,0.935931,0.836787,0.385622,0.289598,0.012744,0.520178,0.520527,0.510631,0.026912,0.003253,0.005928,0.902534,0.0,0
5,True,0.949018,0.836068,0.384725,0.298697,0.011605,0.517613,0.522301,0.522725,0.022681,0.003185,0.004912,0.90314,0.0,0
6,True,0.957721,0.8354,0.383861,0.30773,0.010856,0.524568,0.508365,0.527572,0.020903,0.004294,0.005131,0.90375,0.0,0
7,True,0.967647,0.834453,0.383026,0.31672,0.006927,0.519837,0.506432,0.525515,0.019431,0.005426,0.006376,0.904386,0.0,0
8,True,0.975153,0.833607,0.382128,0.326105,0.010788,0.530674,0.508569,0.556184,0.021647,0.009785,0.015305,0.905064,0.0,0
9,True,0.979985,0.833002,0.38118,0.335854,0.010868,0.528715,0.501591,0.552034,0.023804,0.013578,0.021571,0.905793,0.0,0
10,True,0.989651,0.831652,0.380312,0.345384,0.009796,0.531973,0.515589,0.528972,0.021485,0.012404,0.017257,0.906479,0.0,0
11,True,0.996133,0.830642,0.379358,0.355453,0.01098,0.530102,0.498259,0.561619,0.025221,0.017309,0.026412,0.907233,0.0,0
12,True,1,0.83,0.3784,0.365699,0.009992,0.530203,0.503849,0.54868,0.026061,0.019317,0.028521,0.908006,0.0,0
13,True,1,0.83,0.37741,0.376258,0.01096,0.524016,0.492442,0.54855,0.028103,0.022258,0.03263,0.908805,0.0,0
14,True,1,0.83,0.376437,0.386908,0.011267,0.537239,0.509092,0.553429,0.028365,0.023379,0.03258,0.909597,0.0,0
15,True,1,0.83,0.375413,0.397996,0.011639,0.52951,0.480817,0.552048,0.031807,0.026669,0.035079,0.910425,0.0,0
16,True,1,0.83,0.374435,0.409068,0.005533,0.542835,0.506168,0.550749,0.031431,0.02661,0.031229,0.911259,0.0,0
17,True,1,0.83,0.373486,0.420193,0.005913,0.53564,0.49796,0.546718,0.031625,0.027074,0.029415,0.912071,0.0,0
18,True,1,0.83,0.372519,0.431618,0.002737,0.539306,0.483804,0.552154,0.034134,0.028967,0.028671,0.912911,0.0,0
19,True,1,0.83,0.371574,0.443215,0.001612,0.55505,0.484923,0.546214,0.036405,0.028584,0.022937,0.913721,0.0,0
20,True,1,0.83,0.370691,0.454716,0.000557,0.540952,0.494891,0.541182,0.035407,0.027838,0.018441,0.914494,0.0,0
21,True,1,0.83,0.369809,0.466415,-0.002265,0.545977,0.478183,0.546394,0.037219,0.028745,0.01492,0.915248,0.0,0
22,True,1,0.83,0.369023,0.47794,-0.002718,0.548248,0.496275,0.516593,0.036757,0.025514,0.011936,0.915909,0.0,0
23,True,1,0.83,0.368271,0.489549,-0.006927,0.55038,0.482721,0.535076,0.03826,0.024536,0.009549,0.916501,0.2,0
24,True,1,0.83,0.367559,0.501212,-0.007858,0.543582,0.47519,0.524536,0.03958,0.023222,0.007639,0.917041,0.2,0
25,True,1,0.83,0.366935,0.512689,-0.008014,0.537813,0.48417,0.512018,0.038893,0.020114,0.006111,0.917499,0.2,0
26,True,1,0.83,0.366338,0.524252,-0.007666,0.548872,0.478485,0.527555,0.040338,0.019241,0.004889,0.917925,0.2,0
27,True,1,0.83,0.365738,0.535998,-0.005538,0.538104,0.462179,0.52317,0.042188,0.019771,0.003911,0.91836,0.0,0
28,True,1,0.83,0.365202,0.547689,-0.005834,0.546997,0.477031,0.51209,0.04299,0.017014,0.003129,0.918722,0.0,0
29,True,1,0.83,0.36472,0.559339,-0.008113,0.548168,0.477754,0.513268,0.043702,0.014675,0.002503,0.919012,0.0,0
30,True,1,0.83,0.364261,0.57102,-0.006742,0.54384,0.474611,0.497348,0.044143,0.014283,0.002003,0.919292,0.0,0
31,True,1,0.83,0.363808,0.582717,-0.006963,0.541331,0.48082,0.488952,0.043459,0.015381,0.001602,0.919582,0.0,0
32,True,1,0.83,0.363383,0.59441,-0.004356,0.533951,0.467218,0.510924,0.043644,0.014675,0.001282,0.919864,0.0,0
33,True,1,0.83,0.362986,0.606183,-0.003775,0.542706,0.461282,0.49966,0.045559,0.012947,0.001025,0.920105,0.0,0
34,True,1,0.83,0.362601,0.61802,-0.00662,0.543408,0.469744,0.493962,0.046198,0.012901,0.00082,0.92032,0.0,0
35,True,1,0.83,0.362216,0.629938,-0.007338,0.545404,0.471497,0.492049,0.046751,0.013391,0.000656,0.920533,0.0,0
36,True,1,0.83,0.361814,0.641981,-0.004686,0.54011,0.467264,0.477853,0.047077,0.015133,0.000525,0.920788,0.0,0
37,True,1,0.83,0.361388,0.654232,-0.004836,0.541426,0.457572,0.473884,0.048666,0.0166,0.00042,0.921064,0.0,0
38,True,1,0.83,0.360909,0.666721,-0.005399,0.540738,0.471614,0.463067,0.049227,0.020312,0.003755,0.9214,0.0,0
39,True,1,0.83,0.360392,0.679407,-0.002948,0.536581,0.464864,0.458824,0.049697,0.023334,0.00542,0.9218,0.0,0
40,True,1,0.83,0.359839,0.692262,-0.003626,0.52759,0.473323,0.453547,0.049637,0.026634,0.012247,0.922248,0.0,0
41,True,1,0.83,0.35927,0.705198,-0.00691,0.520429,0.479266,0.453446,0.04874,0.029402,0.020125,0.922716,0.0,0
