cycle,use_mercury,stability,adaptive_score,rigidity,dissent,identity_drift,light_power,shadow_power,mercury_power,bridge_tension,mercury_motion,alliance_shift,emergence,jester_pulse,judge_closure
43,False,1,0.83,0.260297,0.253005,-0.005824,0.527851,0.472334,0.0,0.064081,0.0,0.0,0.966172,0.0,0
44,False,1,0.83,0.25912,0.253163,-0.006661,0.517915,0.466406,0.0,0.062321,0.0,0.0,0.966725,0.0,0
45,False,1,0.83,0.257987,0.253298,-0.005904,0.532607,0.483367,0.0,0.06049,0.0,0.0,0.967256,0.0,0
46,False,1,0.83,0.256896,0.2534,-0.007203,0.516112,0.477693,0.0,0.0574,0.0,0.0,0.967766,0.2,0
47,False,1,0.83,0.255846,0.253478,-0.010477,0.511677,0.470386,0.0,0.055144,0.0,0.0,0.968255,0.2,0
48,False,1,0.83,0.254835,0.253566,-0.011511,0.520658,0.456362,0.0,0.056426,0.0,0.0,0.968725,0.2,0
49,False,1,0.83,0.253861,0.253642,-0.012893,0.51383,0.465255,0.0,0.055326,0.0,0.0,0.969176,0.2,0
50,False,1,0.83,0.252924,0.253699,-0.014632,0.518244,0.474452,0.0,0.053712,0.0,0.0,0.969609,0.0,0
51,False,1,0.83,0.252023,0.253738,-0.014807,0.513932,0.473217,0.0,0.051892,0.0,0.0,0.970025,0.0,0
52,False,1,0.83,0.251154,0.253748,-0.017641,0.502444,0.47025,0.0,0.049134,0.0,0.0,0.970424,0.0,0
53,False,1,0.83,0.250318,0.253735,-0.016414,0.506941,0.475203,0.0,0.046699,0.0,0.0,0.970807,0.0,0
54,False,1,0.83,0.249514,0.253693,-0.015264,0.502506,0.477156,0.0,0.04371,0.0,0.0,0.971175,0.0,0
55,False,1,0.83,0.248739,0.253629,-0.014907,0.498812,0.471466,0.0,0.041419,0.0,0.0,0.971528,0.0,0
56,False,1,0.83,0.247994,0.253562,-0.013767,0.509953,0.472564,0.0,0.040855,0.0,0.0,0.971866,0.0,0
57,False,1,0.83,0.247276,0.253477,-0.014519,0.494286,0.467778,0.0,0.038846,0.0,0.0,0.972192,0.0,0
58,False,1,0.83,0.246585,0.25336,-0.014521,0.484684,0.498871,0.0,0.035394,0.0,0.0,0.972504,0.0,0
59,False,1,0.83,0.24592,0.253227,-0.01517,0.499734,0.477873,0.0,0.033499,0.0,0.0,0.972804,0.0,0
60,False,1,0.83,0.24528,0.253062,-0.013193,0.483706,0.476925,0.0,0.029759,0.0,0.0,0.973092,0.0,0
61,False,1,0.83,0.248664,0.252876,-0.010097,0.477698,0.48955,0.0,0.027252,0.0,0.0,0.973368,0.0,1
62,False,1,0.83,0.251911,0.252661,-0.010808,0.490062,0.487521,0.0,0.023792,0.0,0.0,0.973633,0.0,1
63,False,1,0.83,0.255026,0.252436,-0.010138,0.488017,0.475821,0.0,0.022169,0.0,0.0,0.973888,0.0,1
64,False,1,0.83,0.258015,0.252186,-0.009224,0.493832,0.493648,0.0,0.019091,0.0,0.0,0.974133,0.0,1
65,False,1,0.83,0.260884,0.251929,-0.009025,0.485369,0.494675,0.0,0.017721,0.0,0.0,0.974367,0.0,1
66,False,1,0.83,0.263636,0.251667,-0.010768,0.47921,0.488745,0.0,0.016575,0.0,0.0,0.974593,0.0,1
67,False,1,0.83,0.266277,0.251406,-0.012584,0.472965,0.485236,0.0,0.015972,0.0,0.0,0.974809,0.0,1
68,False,1,0.83,0.268811,0.251148,-0.012244,0.480178,0.492868,0.0,0.015513,0.0,0.0,0.975017,0.0,1
69,False,1,0.83,0.271243,0.2509,-0.012051,0.476321,0.495253,0.0,0.015991,0.0,0.0,0.975216,0.2,1
70,False,1,0.83,0.273576,0.250687,-0.009905,0.477372,0.514641,0.0,0.01897,0.0,0.0,0.975407,0.2,1
71,False,1,0.83,0.275814,0.2505,-0.010183,0.475449,0.509379,0.0,0.021065,0.0,0.0,0.975591,0.2,1
72,False,1,0.83,0.277962,0.250316,-0.009778,0.48594,0.505317,0.0,0.020828,0.0,0.0,0.975767,0.2,1
73,False,1,0.83,0.280023,0.250165,-0.009371,0.469367,0.51135,0.0,0.02379,0.0,0.0,0.975937,0.0,1
74,False,1,0.83,0.282001,0.250032,-0.005612,0.468383,0.502623,0.0,0.025253,0.0,0.0,0.976099,0.0,1
75,False,1,0.83,0.283899,0.249926,-0.007944,0.482272,0.524612,0.0,0.027645,0.0,0.0,0.976255,0.0,1
76,False,1,0.83,0.285719,0.249848,-0.010227,0.474169,0.520591,0.0,0.030274,0.0,0.0,0.976405,0.0,1
77,False,1,0.83,0.287467,0.249774,-0.00923,0.475535,0.507658,0.0,0.030533,0.0,0.0,0.976549,0.0,1
78,False,1,0.83,0.289143,0.249715,-0.012471,0.470602,0.509996,0.0,0.031773,0.0,0.0,0.976687,0.0,1
79,False,1,0.83,0.290752,0.249677,-0.012042,0.474859,0.521152,0.0,0.033806,0.0,0.0,0.976819,0.0,1
80,False,1,0.83,0.292295,0.249648,-0.008129,0.485209,0.525218,0.0,0.034674,0.0,0.0,0.976947,0.0,1
81,False,1,0.83,0.293776,0.249651,-0.008906,0.462498,0.520028,0.0,0.037874,0.0,0.0,0.977069,0.0,1
82,False,1,0.83,0.295197,0.249683,-0.010205,0.470835,0.530107,0.0,0.04087,0.0,0.0,0.977186,0.0,1
83,False,1,0.83,0.296561,0.249725,-0.012726,0.48164,0.530299,0.0,0.04196,0.0,0.0,0.977299,0.0,1
84,False,1,0.83,0.297869,0.249776,-0.013824,0.481568,0.530831,0.0,0.042983,0.0,0.0,0.977407,0.0,1
85,False,1,0.83,0.299124,0.249844,-0.015401,0.474979,0.531653,0.0,0.044899,0.0,0.0,0.97751,0.0,1
86,False,1,0.83,0.300329,0.249902,-0.01469,0.491312,0.529564,0.0,0.043969,0.0,0.0,0.97761,0.0,1
87,False,1,0.83,0.301485,0.24999,-0.015616,0.469227,0.536434,0.0,0.047222,0.0,0.0,0.977706,0.0,1
88,False,1,0.83,0.302594,0.250072,-0.011924,0.489073,0.534037,0.0,0.046906,0.0,0.0,0.977797,0.0,1
89,False,1,0.83,0.303658,0.250145,-0.014221,0.489974,0.531326,0.0,0.046128,0.0,0.0,0.977885,0.0,1
90,False,1,0.83,0.304679,0.250237,-0.01381,0.473191,0.534397,0.0,0.048239,0.0,0.0,0.97797,0.0,1
91,False,1,0.83,0.305659,0.250328,-0.013508,0.486052,0.535277,0.0,0.048377,0.0,0.0,0.978051,0.0,1
